StateWellNumber,County,Aquifer,Status,MeasurementMonth,MeasurementDay,MeasurementYear,MeasurementDate,MeasurementTime,DepthFromLSD,LandElevation,LandElevationMethod,WaterElevation,MeasurementNumber,MeasuringAgency,MethodOfMeasurement,Remarks,Comments,CreatedDate,LastUpdateDate
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,23,1974,12/23/74,,130,4702,Interpolated From Topo Map,4572,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,1,22,1975,1/22/75,,128.36,4702,Interpolated From Topo Map,4573.64,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Questionable,1,22,1976,1/22/76,,133.04,4702,Interpolated From Topo Map,4568.96,1,Texas Water Development Board,Steel Tape, Well pumped recently,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Questionable,1,4,1977,1/4/77,,136.89,4702,Interpolated From Topo Map,4565.11,1,Texas Water Development Board,Steel Tape,,,10/15/10,5/11/16
140301,Dallam,Ogallala/Rita Blanca,Publishable,1,12,1978,1/12/78,,137.56,4702,Interpolated From Topo Map,4564.44,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,11,6,1979,11/6/79,,139.33,4702,Interpolated From Topo Map,4562.67,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,17,1980,12/17/80,,140.98,4702,Interpolated From Topo Map,4561.02,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,7,1982,12/7/82,,141.93,4702,Interpolated From Topo Map,4560.07,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,4,1984,12/4/84,,145.3,4702,Interpolated From Topo Map,4556.7,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,11,1985,12/11/85,,142.2,4702,Interpolated From Topo Map,4559.8,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,1,13,1987,1/13/87,,133.8,4702,Interpolated From Topo Map,4568.2,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,7,1987,12/7/87,,144.05,4702,Interpolated From Topo Map,4557.95,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,9,1988,12/9/88,,147.2,4702,Interpolated From Topo Map,4554.8,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,5,1989,12/5/89,,147.5,4702,Interpolated From Topo Map,4554.5,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,5,1990,12/5/90,,151.8,4702,Interpolated From Topo Map,4550.2,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,13,1991,12/13/91,,147.95,4702,Interpolated From Topo Map,4554.05,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,1,5,1993,1/5/93,,146.59,4702,Interpolated From Topo Map,4555.41,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,7,1993,12/7/93,,148.2,4702,Interpolated From Topo Map,4553.8,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,12,1994,12/12/94,,147.72,4702,Interpolated From Topo Map,4554.28,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,7,1995,12/7/95,,151.05,4702,Interpolated From Topo Map,4550.95,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,12,1996,12/12/96,,152.95,4702,Interpolated From Topo Map,4549.05,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,4,1997,12/4/97,,156.62,4702,Interpolated From Topo Map,4545.38,1,Texas Water Development Board,Steel Tape,,,10/15/10,10/15/10
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,11,1998,12/11/98,,160.81,4702,Interpolated From Topo Map,4541.19,1,Texas Water Development Board,Steel Tape,,,12/28/98,12/28/98
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,7,1999,12/7/99,,164.62,4702,Interpolated From Topo Map,4537.38,1,Texas Water Development Board,Steel Tape,,,12/29/99,12/29/99
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,5,2000,12/5/00,,169.4,4702,Interpolated From Topo Map,4532.6,1,Texas Water Development Board,Steel Tape,,,12/13/00,12/13/00
140301,Dallam,Ogallala/Rita Blanca,Publishable,12,11,2001,12/11/01,,173.17,4702,Interpolated From Topo Map,4528.83,1,Texas Water Development Board,Steel Tape,,,12/18/01,12/18/01
140301,Dallam,Ogallala/Rita Blanca,No Measurement,12,10,2003,12/10/03,,,4702,Interpolated From Topo Map,,1,Texas Water Development Board,, Unable to insert tape into well,,12/22/03,12/22/03
140301,Dallam,Ogallala/Rita Blanca,No Measurement,5,18,2004,5/18/04,,,4702,Interpolated From Topo Map,,1,Texas Water Development Board,, Unable to insert tape into well,,7/16/04,7/16/04
140301,Dallam,Ogallala/Rita Blanca,No Measurement,12,11,2004,12/11/04,,,4702,Interpolated From Topo Map,,1,Texas Water Development Board,, Unable to insert tape into well,,1/3/05,1/3/05
140302,Dallam,Ogallala/Rita Blanca,Publishable,12,11,1996,12/11/96,,118.27,4644,Interpolated From Topo Map,4525.73,1,Texas Water Development Board,Steel Tape,,,12/20/96,12/20/96
140302,Dallam,Ogallala/Rita Blanca,Questionable,12,7,1999,12/7/99,,76.01,4644,Interpolated From Topo Map,4567.99,1,Texas Water Development Board,Steel Tape, Uncertain of reason for questionable measurement,,12/29/99,12/29/99
140302,Dallam,Ogallala/Rita Blanca,Questionable,12,5,2000,12/5/00,,137.6,4644,Interpolated From Topo Map,4506.4,1,Texas Water Development Board,Steel Tape, Pumping-level measurement,,12/13/00,12/13/00
140302,Dallam,Ogallala/Rita Blanca,No Measurement,12,11,2001,12/11/01,,,4644,Interpolated From Topo Map,,1,Texas Water Development Board,, Access to well temporarily blocked due to winterization or debris,,12/18/01,12/18/01
140302,Dallam,Ogallala/Rita Blanca,No Measurement,12,13,2002,12/13/02,,,4644,Interpolated From Topo Map,,1,Texas Water Development Board,, Access to well temporarily blocked due to winterization or debris,,12/17/02,12/17/02
140302,Dallam,Ogallala/Rita Blanca,No Measurement,12,10,2003,12/10/03,,,4644,Interpolated From Topo Map,,1,Texas Water Development Board,, Unable to insert tape into well,,12/22/03,12/22/03
140902,Dallam,Ogallala/Rita Blanca,Publishable,10,18,1979,10/18/79,,131.53,4690,Interpolated From Topo Map,4558.47,1,Texas Water Development Board,Steel Tape,,,,
140902,Dallam,Ogallala/Rita Blanca,Publishable,11,6,1979,11/6/79,,125.44,4690,Interpolated From Topo Map,4564.56,1,Texas Water Development Board,Steel Tape,,,,
140902,Dallam,Ogallala/Rita Blanca,Publishable,1,7,1982,1/7/82,,130.93,4690,Interpolated From Topo Map,4559.07,1,Texas Water Development Board,Steel Tape,,,,
140902,Dallam,Ogallala/Rita Blanca,Publishable,1,10,1984,1/10/84,,125.36,4690,Interpolated From Topo Map,4564.64,1,Texas Water Development Board,Steel Tape,,,,
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,11,1985,12/11/85,,125.52,4690,Interpolated From Topo Map,4564.48,1,Texas Water Development Board,Steel Tape,,,,
140902,Dallam,Ogallala/Rita Blanca,Questionable,12,7,1987,12/7/87,,131.7,4690,Interpolated From Topo Map,4558.3,1,Texas Water Development Board,Steel Tape, Well pumped recently,,,
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,9,1988,12/9/88,,128,4690,Interpolated From Topo Map,4562,1,Texas Water Development Board,Steel Tape,,,,
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,6,1989,12/6/89,,126.71,4690,Interpolated From Topo Map,4563.29,1,Texas Water Development Board,Steel Tape,,,,
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,5,1990,12/5/90,,128.66,4690,Interpolated From Topo Map,4561.34,1,Texas Water Development Board,Steel Tape,,,,
140902,Dallam,Ogallala/Rita Blanca,Publishable,11,13,1991,11/13/91,,126.35,4690,Interpolated From Topo Map,4563.65,1,Texas Water Development Board,Steel Tape,,,,
140902,Dallam,Ogallala/Rita Blanca,Publishable,1,5,1993,1/5/93,,126.38,4690,Interpolated From Topo Map,4563.62,1,Texas Water Development Board,Steel Tape,,,,
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,7,1993,12/7/93,,127,4690,Interpolated From Topo Map,4563,1,Texas Water Development Board,Steel Tape,,,,
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,12,1994,12/12/94,,127.1,4690,Interpolated From Topo Map,4562.9,1,Texas Water Development Board,Steel Tape,,,12/19/94,12/19/94
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,7,1995,12/7/95,,127.5,4690,Interpolated From Topo Map,4562.5,1,Texas Water Development Board,Steel Tape,,,12/15/95,12/15/95
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,12,1996,12/12/96,,127.5,4690,Interpolated From Topo Map,4562.5,1,Texas Water Development Board,Steel Tape,,,12/19/96,12/19/96
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,9,1997,12/9/97,,127.52,4690,Interpolated From Topo Map,4562.48,1,Texas Water Development Board,Steel Tape,,,1/6/98,1/6/98
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,11,1998,12/11/98,,127.88,4690,Interpolated From Topo Map,4562.12,1,Texas Water Development Board,Steel Tape,,,12/28/98,12/28/98
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,7,1999,12/7/99,,132.23,4690,Interpolated From Topo Map,4557.77,1,Texas Water Development Board,Steel Tape,,,12/29/99,12/29/99
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,5,2000,12/5/00,,128.4,4690,Interpolated From Topo Map,4561.6,1,Texas Water Development Board,Steel Tape,,,12/13/00,12/13/00
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,11,2001,12/11/01,,128.92,4690,Interpolated From Topo Map,4561.08,1,Texas Water Development Board,Steel Tape,,,12/18/01,12/18/01
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,13,2002,12/13/02,,130.65,4690,Interpolated From Topo Map,4559.35,1,Texas Water Development Board,Steel Tape,,,12/17/02,12/17/02
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,10,2003,12/10/03,,129.95,4690,Interpolated From Topo Map,4560.05,1,Texas Water Development Board,Steel Tape,,,12/22/03,12/22/03
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,11,2004,12/11/04,,130.5,4690,Interpolated From Topo Map,4559.5,1,Texas Water Development Board,Steel Tape,,,1/3/05,1/3/05
140902,Dallam,Ogallala/Rita Blanca,Publishable,11,3,2005,11/3/05,,130.78,4690,Interpolated From Topo Map,4559.22,1,Texas Water Development Board,Steel Tape,,,11/29/05,11/29/05
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,1,2006,12/1/06,,130.75,4690,Interpolated From Topo Map,4559.25,1,Texas Water Development Board,Steel Tape,,,12/6/06,12/6/06
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,6,2007,12/6/07,,130.7,4690,Interpolated From Topo Map,4559.3,1,Texas Water Development Board,Steel Tape,,,12/18/07,12/18/07
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,10,2008,12/10/08,,131.1,4690,Interpolated From Topo Map,4558.9,1,Texas Water Development Board,Steel Tape,,,12/16/08,12/16/08
140902,Dallam,Ogallala/Rita Blanca,Publishable,11,3,2009,11/3/09,,131.36,4690,Interpolated From Topo Map,4558.64,1,Texas Water Development Board,Steel Tape,,,11/10/09,11/10/09
140902,Dallam,Ogallala/Rita Blanca,Publishable,12,14,2010,12/14/10,,131.95,4690,Interpolated From Topo Map,4558.05,1,Texas Water Development Board,Steel Tape,,,12/21/10,12/21/10
140902,Dallam,Ogallala/Rita Blanca,No Measurement,12,6,2011,12/6/11,,,4690,Interpolated From Topo Map,,1,Texas Water Development Board,, Access to well temporarily blocked due to winterization or debris,,12/20/11,12/20/11
140902,Dallam,Ogallala/Rita Blanca,No Measurement,12,6,2012,12/6/12,,,4690,Interpolated From Topo Map,,1,Texas Water Development Board,Steel Tape, Access to well temporarily blocked due to winterization or debris,,1/8/13,1/8/13
148901,Dallam,Ogallala/Rita Blanca,Publishable,6,0,1970,,,96.25,4562,Interpolated From Topo Map,4465.75,1,Well Owner or Operator,Unknown,,,,
148901,Dallam,Ogallala/Rita Blanca,Publishable,1,7,1977,1/7/77,,91.57,4562,Interpolated From Topo Map,4470.43,1,Texas Water Development Board,Steel Tape,,,,
148901,Dallam,Ogallala/Rita Blanca,Publishable,1,11,1978,1/11/78,,90.13,4562,Interpolated From Topo Map,4471.87,1,Texas Water Development Board,Steel Tape,,,,
148901,Dallam,Ogallala/Rita Blanca,No Measurement,12,11,1978,12/11/78,,,4562,Interpolated From Topo Map,,1,Texas Water Development Board,," Well site temporarily inaccessible due to impassable roads, locked gate, etc.",,,
148901,Dallam,Ogallala/Rita Blanca,Publishable,11,6,1979,11/6/79,,98.65,4562,Interpolated From Topo Map,4463.35,1,Texas Water Development Board,Steel Tape,,,,
148901,Dallam,Ogallala/Rita Blanca,Publishable,1,7,1982,1/7/82,,97.08,4562,Interpolated From Topo Map,4464.92,1,Texas Water Development Board,Steel Tape,,,,
148901,Dallam,Ogallala/Rita Blanca,Publishable,1,11,1984,1/11/84,,99.94,4562,Interpolated From Topo Map,4462.06,1,Texas Water Development Board,Steel Tape,,,,
148901,Dallam,Ogallala/Rita Blanca,Publishable,12,11,1985,12/11/85,,100.93,4562,Interpolated From Topo Map,4461.07,1,Texas Water Development Board,Steel Tape,,,,
148901,Dallam,Ogallala/Rita Blanca,Publishable,1,13,1987,1/13/87,,99.74,4562,Interpolated From Topo Map,4462.26,1,Texas Water Development Board,Steel Tape,,,,
148901,Dallam,Ogallala/Rita Blanca,Publishable,12,9,1987,12/9/87,,105.71,4562,Interpolated From Topo Map,4456.29,1,Texas Water Development Board,Steel Tape,,,,
148901,Dallam,Ogallala/Rita Blanca,Publishable,12,10,1988,12/10/88,,108.6,4562,Interpolated From Topo Map,4453.4,1,Texas Water Development Board,Steel Tape,,,,
